Plant,Disease,Symptom,Cause,Comment,Management
Alfalfa,Beet armyworm,"Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside.",Insect,Insect can go through 3–5 generations a year.,Organic methods of controlling the beet armyworm include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae.
Alfalfa,Threecornered alfalfa hopper,"Stems girdled causing part of plant to above to break and turn red, purple or yellow; adult insect is green and wedge-shaped, tapering towards rear end; insect has a triangular area on back visible from above and piercing-sucking mouthparts; nymphs are soft bodied and gray-white in color.",Insect,Insect also a pest of other plants including soybean; may be 3-4 generations of insect per year.,Applications of appropriate insecticide if insect becomes problematic.
Almond,Almond brownline and decline,Stunted tree growth; drooping/wilting of leaves; brown necrotic areas under bark,Phytoplasma,Most common on young trees; grow trees from pathogen free stock,Stunted trees should be removed and replaced; plant only certified pathogen free trees
Almond,Almond kernel shrivel,"Late blooming; new growth stunted; paler, smaller leaves; kernels of nuts shriveled at harvest",Phytoplasma,Most common where peach rootstock has been used for grafting; remove infected trees,Remove diseased trees; plant only certified trees
Almond,Almond leaf scorch; golden death,Chlorotic leaf margins; necrosis of leaf margins beginning toward tip of leaf and spreading to base; patches of necrotic tissue with chlorotic margin,Bacterium,"More of tree will be affected each year; bacterium can infect rye, blackberry and nettle and if these plants are nearby they may act as reservoir; transmitted by leafhoppers and spittle bugs",If discovered early (while disease affects only one branch) disease can be removed by pruning primary scaffold 5 to 10 ft below symptoms; older infections may require the tree to be removed and replaced
Almond,Crown gall,Galls of various sizes on roots and root crown below the soil line; galls may occasionally grow on the trunk; galls are initially light colored bulges which grow larger and darken; galls may be soft and spongy or hard; if galling is severe and girdles the trunk then young trees are weakened due to constricted vascular tissue; trees may be stunted and rarely die,Bacterium,"The bacterium enters host plants through wounds and causes plant cells to proliferate and cells to be undifferentiated, leading to the formation of a gall","Only plant disease-free nursery stock; plant trees in well-draining soils; avoid wounding the plants as much as possible; fresh wounds can be treated with a biocontrol agent (Agrobacterium tumefaciens K84), if available, to prevent the bacterium colonizing"
Almond,Alternaria leaf spot,Light brown lesions on leaves which expand to form circular lesions on leaf blade or semi-circular lesions on margin; leaves may develop light yellow necrosis which dries and turns tan in center of leaves; infected leaves dropping from tree; fruit does not drop from tree,Fungus,Disease emergence favors warm weather,Late spring treatment with appropriate fungicide if Alternaria symptoms are present
Almond,Anthracnose,Blighting of blossom; dieback of limbs; death of foliage with leaves remaining attached; nuts with orange lesions,Fungus,"All cultivars susceptible; occurs more often in warm, wet conditions",Fungicide treatment and cultural practices required to control disease. Orchards with a history of anthracnose infections should be sprayed at 5-10% bloom and applications should be repeated every 10 to 14 days; dead infected branches should be pruned; low angle nozzles should be used in orchards with spray irrigation to prevent wetting of leaves
Almond,Brown Rot Blossom Blight,Blighted blossoms; stigma and anther of flowers turning brown and necrotic; blossom collapsing and turning brown; light brown powdery fungal masses may be visible on infected flowers; gummy exudate at base of flowers; cankers forming on twigs associated with blossoms,Fungus,Disease emergence favors frequent rainfall during bloom,Fungicide application at 5-10% bloom and full bloom to protect flowers; one application at full bloom usually sufficient if there is no rainfall; two or three applications should be made if bloom is accompanied by rainfall
Almond,Hull rot,Tan lesions on hulls which enlarge and cause fruit to shrivel; dark gray spore masses visible between hull and shell; leaves in proximity to infected fruit may wither and curl; leaf death occurs on side of shoot closest to infected fruit,Fungus,Hulls of fruit are susceptible to hull rot until they are dry,Management of irrigation should be practiced. Reduce irrigation at hull split; demethylation inhibitor and quinone outside inhibitor fungicide may be applied in combination with irrigation management
Almond,Shot hole,Circular purplish spots on foliage which enlarge and turn chlorotic then tan; drying of lesions causes missle of lesion to drop out of leaf causing small holes to develop,Fungus,Spores transmitted in water; disease more common in wet conditions,If fungal fruiting structures are present in Fall (visible under a hand lens as small black spots in the center of lesions) then a fall treatment with fungicide is required; fungicide should be applied before wet periods to protect tree
Almond,Verticillium wilt (Blackheart),Leaves on one side of tree turning yellow; wilting early in season,Fungus,"Fungus overwinters on soil, recurring each year; problematic if orchard is interplanted with other susceptible plants e.g. cotton, tomato, melon","Orchards should not be intercropped with susceptible plants e.g. cotton, tomatoes or melons; solarization or fumigation of soil prior to planting may be used to kill fungi in soil"
Almond,Pavement ant (Southern fire ant),Hollowed out nuts on ground,Insects,Prevalent in orchards using drip or spray irrigation,Monitor orchard for ants in April and May; apply ant baits before harvest to manage high ant populations; remove nuts from orchard floor as soon as possible
Aloe Vera,Aloe rust,"Small, pale yellow spots on leaves which expand and turn brown; orange spore masses may be present on underside of leaf; leaves may drop from plant.",Fungus,Disease emergence favors cool temperatures and high humidity.,Disease is self limiting and requires no treatment.
Aloe Vera,Anthracnose disease,"The initial appearance of small round to oval, dark green water-soaked which later become circular spots with tan to light brown center. As the spots mature the center of the lesion become reddish brown to brown color. With progress in disease the lesions join together to form big necrotic area.",Fungus,"Disease is favored by warm, wet weather; spread easily during wet weather by water splash.",Application of suitable fungicides.
Aloe Vera,Basal stem rot,Base of plant turning reddish brown to black and rotting.,Fungi,"Fatal disease of aloes; disease emergence favors cold, damp conditions.",Pieces of plant may be saved by taking cuttings above rotted portion.
Aloe Vera,Bacterial soft rot,"Watery, rotting leaves which are darker in color; young leaves wilting and collapsing; leaves bulging due to gas formation inside.",Bacterium,"Bacteria survive in plant debris in the field; disease emergence favored by hot, wet weather.",Fatal disease; avoid over-watering plants.
Aloe Vera,Aloe vera aphid,Both adults and nymphs feed at the bases of the leaves or in rolled ends of damaged leaves. They also secrete honeydew which is resulting in sooty mold development. Severe infestation leads to slow growth and stunting.,Insect,One of important quarantine pest.,Organically acceptable methods of control include the application of insecticidal soap and preservation of natural enemies.
Amaranth,Anthracnose,Necrotic lesions on leaves; dieback of leaves and branches,Fungus,,Avoid damaging plants and creating wounds for pathogen to enter; plant resistant varieties
Amaranth,Damping-off,Poor germination; seedling collapse; brown-black lesions girdling stem close to soil line; seedling fail to emerge from soil,Fungus,Disease emergence favors wet soils,Avoid planting seeds too deeply; do not plant seeds too thickly to promote air circulation around seedlings; do not over-water plants
Amaranth,Wet rot  (Choanephora rot),Water-soaked lesions on stems; lesions have hairy appearance due to presence of fungal spores; may cause loss of leaves,Fungus,"Fungus mainly attacks plants that have been damaged by insects or by mechanical means; spread by air currents and via infected seed; disease emergence favors warm, moist conditions",Plant varieties resistant to disease; only use certified seed; do not plant crop densely; treat disease with copper fungicides if it emerges
Amaranth,Damping-off diseases,"Seeds may rot in the soil before emergence (pre-emergence damping-off) or seedlings may exhibit stem canker above the soil line and/or root necrosis. Affected seedlings eventually wilt (post-emergence damping-off). The disease is favoured by high soil water content and low soil temperatures. Also, dense planting without sufficient aeration enhances disease development.","The disease is caused by Pythium aphanidermatum, Rhizoctonia solani and Aphanomyces sp.","The disease is favoured by high soil water content and low soil temperatures. Also, dense planting without sufficient aeration enhances disease development.",Use disease-free seeds. Avoid over watering. Avoid dense planting.
Anise,Alternaria blights,"Small round yellow, brown or black spots on leaves; concentric ringed pattern; holes in leaves where lesion has dropped out",Fungi,Spread by seed; poor air circulation favors spread,Treat seeds with hot water prior to planting; prevent disease by keeping plants well watered; if disease emerges remove and destroy plant; remove all plant debris from soil as fungi can survive on pieces of plant
Anise,Downy mildew,Yellow spots on upper surface of leaves; white fluffy growth on underside of leaves; lesions become darker as the mature.,Fungus,"Disease affects young, tender leaves; disease emergence and spread is favored by prolonged leaf wetness.",Plant pathogen-free seed; do not overcrowd plants; rotate crops with non-umbelliferous varieties.
Anise,Powdery mildew,"Powdery growth on leaves, petioles flowers stalks and bracts; leaves becoming chlorotic; severe infections can cause flowers to become distorted.",Fungus,Fungus can spread long distances in air; disease emergence is favored by high humidity and moderate temperatures; infection is most severe in shaded areas.,Plant tolerant varieties; avoid excess fertilization; protective fungicide applications provide adequate protection; sulfur application can be used in infection occurs early in season.
Anise,Rust,Light green discolored lesions on leaves which become chlorotic; yellow-orange pustules on underside of leaves; stems bend and become swollen or distorted; plants may be stunted.,Fungi,Some species infect only parsley while others have alternative hosts which may provide a reservoir for the disease; disease emergence is favored by high humidity.,Plant in well-draining soils to reduce humidity around plants; apply appropriate systemic fungicide.
Anise,Aphids (Willow-carrot aphid),"Small soft bodied insects on underside of leaves and/or stems of plant; usually green or yellow in color; if aphid infestation is heavy it may cause leaves to yellow and/or distorted, necrotic spots on leaves and/or stunted shoots; aphids secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants.",Insect,"Distinguishing features include the presence of cornicles (tubular structures) which project backwards from the body of the aphid; will generally not move very quickly when disturbed; willow-carrot aphid will also attack parnip, carrot and celery.",If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use.
Anise,Armyworm,"Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside.",Insect,"The armyworm, Pseudaletia unipuncta, is sometimes called ""true armyworm"" to distinguish it from other species that include ""armyworm"" in the common name. In Florida, Fall armyworm, Spodoptera frugiperda is often called armyworm, and occurs frequently; in contrast, Pseudaletia unipuncta is not found frequently in Florida.
This insect can go through 3–5 generations a year.",Organic methods of controlling armyworms include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae.
Anise,Cutworms,"Stems of young transplants or seedlings may be severed at soil line; if infection occurs later, irregular holes are eaten into the surface of fruits; larvae causing the damage are usually active at night and hide during the day in the soil at the base of the plants or in plant debris of toppled plant; larvae are 2.5–5.0 cm (1–2 in) in length; larvae may exhibit a variety of patterns and coloration but will usually curl up into a C-shape when disturbed.",Insects,"Cutworms have a wide host range and attack vegetables including asparagus, bean, cabbage and other crucifers, carrot, celery, corn, lettuce, pea, pepper, potato and tomato.","Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically."
Anise,Root knot nematode,Galls on roots which can be up to 3.3 cm (1 in) in diameter but are usually smaller; reduction in plant vigor; yellowing plants which wilt in hot weather.,Nematode,Galls can appear as quickly as a month prior to planting; nematodes prefer sandy soils and damage in areas of field or garden with this type of soil is most likely.,Plant resistant varieties if nematodes are known to be present in the soil ;check roots of plants mid-season or sooner if symptoms indicate nematodes; solarizing soil can reduce nematode populations in the soil and levels of inoculum of many other pathogens.
Apple,Apple scab,Yellow or chlorotic spots on leaves; dark olive green spots on leaves and fruit; may be a velvety growth on spots on undersides of leaves; twisting of leaves; distorted leaves; severely infected leaves turn yellow and drop from tree.,Fungus,Fungus overwinters on dead foliage on ground; spores dispersed by wind; high moisture encourages fungal growth.,"Remove all leaves dropped from tree in the fall and compost to prevent any diseases surviving in debris; application of zinc and fertilizer grade urea in the Fall may be necessary to speed leaf drop, lime should then be added to fallen leaves; fungicide application may be necessary in areas where leaves remain wet for periods in excess of 9 hours; fungicides such as copper soaps and Bordeaux mixture should be applied if there is a chance of wet period as soon as leaf tips emerge."
Apple,Black rot,"Purple flecks or circular lesions which are brown in the centre and purple at margin; red flecks, purple lesions and/or brown black rings on fruit.",Fungus,Spores can overwinter in twigs or fruit remaining on the tree and spread during rainfall.,"Remove dead wood, mummified fruit and cankers from trees to reduce spread of disease; burn any prunings that have been made from the tree; disease can be controlled by applying fungicides from silver tip to harvest."
Apple,Cedar apple rust,"Bright orange or yellow patches on top side of leaves surrounded by a red band and small black spots in the center; by mid-summer, cup-like structures called aecia form on the leaf undersides; these become covered in tubular structures from which spores are released.",Fungus,Fungus requires two hosts to complete lifecycle; forms galls on Eastern red cedar and spores are carried by wind to apple; use caution when planting apple close to red cedar.,Plant resistant varieties where possible; remove nearby red cedar; if growing susceptible varieties in proximity to red cedar follow a fungicide program.
Apple,Flyspeck,Shiny black fungal fruiting bodies appear as dots arranged in irregular to circular pattern on fruit surface.,Fungus,Outbreaks usually follow above average summer temperatures and frequent rainfall.,Prune trees to open canopy and promote drying of fruit surface; fungicides may be applied as a preventative measure.
Apple,Powdery mildew,White velvety patches on underside of leaves; chlorotic spots on top side of the leaves,Fungus,Fungal spores overwinter in buds; spread by wind,Prune out infected shoots while dormant in early spring; apply sprays at pink bud stage to reduce build up; organic treatments include application of lime and sulfur
Apple,Sooty blotch and flyspeck,Sooty blotches with an indefinite margin on surface of fruit; blotches may coalesce to cover entire fruit; shiny black fungal fruiting bodies appear as dots arranged in irregular to circular pattern on fruit surface,Fungi,Infections occur mainly during periods of high rainfall and high humidity,Plant trees in area with good sunlight and air circulation; prune trees to an open center; blemishes superficial and can be washed off
Apple,Fire blight,Plant appears as if it has been scorched by fire; watery exudate may be present on infected areas.,Bacterium,Bacterium overwinters in bark or cankers; spread by pollinating insects and by rain splash.,Cut out diseased wood; treat with Bordeaux mixture or approved fixed copper materials for organic production; streptomycin or copper application to blossoms may be necessary to prevent spread.
Apple,Phytophthora crown and root rot,"Leaves wilting but remain attached to the tree; reduced growth; early senescence; cankers at soil level, dark discoloration of bark which is slimy when wet.",Fungus,Infection encouraged by poorly draining soil.,Practice good water management to prevent emergence of disease; do not over-water trees or allow water to accumulate in soil; there is no treatment for Phytophthora infection once present; no apple varieties are resistant to all strains of the pathogen.
Apple,"Aphids (Green apple aphid, Woolly apple aphid)","Small soft bodied insects on underside of leaves and/or stems of plant; usually green or yellow in color, woolly apple aphids are covered in masses of white, wool-like material; green apple aphids are dark green when they forst hatch and change to yellow-green with darker green spots as they mature; if aphid infestation is heavy it may cause leaves to yellow and/or distorted, necrotic spots on leaves and/or stunted shoots; aphids secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants.",Insects,Distinguishing features include the presence of cornicles (tubular structures) which project backwards from the body of the aphid; will generally not move very quickly when disturbed.,If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use.
Apple,Apple maggot,"Misshapen, pitted and sunken areas on fruit surface; browning and rotting of apple flesh.",Insect,Surface damage caused to fruit by female laying her eggs; larvae damage flesh by burrowing and feeding.,"Use red spherical sticky traps to trap adults, place one trap for every 100 apple fruits; bag apples by tying or stapling polythene bags around fruit to prevent adults laying eggs - cut corners from bags to ensure air supply to fruit; spray fruit with insecticide prior to eggs being laid."
Apple,Codling moth,Holes and burrows in fruit; holes may be blocked with crumbly brown frass (insect excrement); wounds may be shallow or may be deep burrows extending to the fruit’s core; adult insect is a dark brown moth; larvae are pink with a brown head and may be up to 1.3 cm (0.5 in) long.,Insect,Insect usually undergoes 2-4 generations per year.,Proper pruning methods help to open out tree canopy to ensure treatments penetrate interior of the tree and reach larvae; removal of any wild hosts or trees in abandoned orchards helps remove reservoirs of insect; organically acceptable control methods include application of Entrust and kaolin clay; small scale growers and home gardeners can remove infested fruit by hand before larvae leaves fruit to reduce insect population; successful reduction of insect population in large scale orchards is usually achieved by mating disruption by releasing pheromones over successive years.
Apple,"Leafhoppers (White apple leafhopper, Rose leafhopper)",White stippling on foliage; may be a reduction in fruit size; black specks of frass on fruit; sticky exudate on fruit and leaves caused by excretion of honeydew by insect.,Insect,Damage resembles that of spider mites but is much more noticeable; insect usually reaches highest number close-to or after harvest.,Control of leafhoppers is becoming problematic as they are developing resistance to organophosphate insecticides; sprays of appropriate insecticides are most effective at controlling the insect before the adults emerge; monitor trees for appearance of nymphs.
Apple,"Leafrollers (Omnivorous leafroller, Redbanded leafroller, etc)",Leaves of plant rolled and tied together with silk webbing; feeding damage to rolled leaves; defoliation of plant; silk webbing may also be present on fruits and fruits may have substantial scarring from feeding damage; larvae wriggle vigorously when disturbed and may drop from plant on a silken thread.,Insect,Adult insect is a moth which can fly over several miles to find suitable hosts.,Monitor plants regularly for signs of infestation; remove weeds from plant bases as they can act as hosts for leafrollers; Bacillus thuringiensis or Entrust SC may be applied to control insects on organically grown plants; apply sprays carefully to ensure that treatment reaches inside rolled leaves.
Apple,Roundheaded apple tree borer,The presence of bore holes at the base of tree which are covered by pigtail-shaped frass and/or darkened areas in the bark due to sap flow are the proof of insect infestation. The young may kill by one or two larvae infestation. The older trees show drying and break off near the base.,Insect,"The insect is quite common in US and Canada. The host range of this insect is apple, pear, quince, mountain-ash, hawthorn and serviceberry.",Use of trunk wraps to avoid insect attack. Removing and killing of larvae from the tunnel if possible. Application of suitable insecticide.
Apple,Stinkbugs  (Various),"Dark colored pinpricks on fruit; depressed dimples on fruit surface with white, pithy area underneath; stink bugs often carry pathogens in their mouthparts which can cause secondary infections and decay of fruit; adult insect is shield-shaped and brown or green in color; may have pink, red or yellow markings; eggs are drum shaped and laid in clusters on the leaves; larvae resemble the adults but are smaller; insect frass may be visible on the fruit is small, brown teardropped shaped deposits",Insect,"Adult insects overwinter under leaves, on legumes, blackberries or on certain weeds such as mustard or Russian thistle","Remove weeds around crop which may act as overwintering sites for stink bugs and practice good weed management throughout the year; organically accepted control methods include the use of insecticidal soaps, kaolin clay and preservation of natural enemies"
Apple,Spider mites,"Leaves stippled with yellow; leaves may appear bronzed; webbing covering leaves; mites may be visible as tiny moving dots on the webs or underside of leaves, best viewed using a hand lens; usually not spotted until there are visible symptoms on the plant; leaves turn yellow and may drop from plant",Arachnid,Spider mites thrive in dusty conditions; water-stressed plants are more susceptible to attack,"In the home garden, spraying plants with a strong jet of water can help reduce buildup of spider mite populations; if mites become problematic apply insecticidal soap to plants; certain chemical insecticides may actually increase mite populations by killing off natural enemies and promoting mite reproduction"
Apricot,Armillaria root rot,If tree is infected after it has reached 5 years of age then typical symptoms include poor terminal growth and small leaves; around midsummer the whole tree suddenly collapses; in orchards trees usually die in a circular pattern; infected trees often have a fan-shaped white fungal mat growing between the bark and wood of the crown.,Fungus,Fungus survives in dead roots; symptoms similar to Phytophthora root rot.,"Once a tree is infected there is no treatment and it should be removed, fumigants do not control fungi in soil adequately; do not plant apricot in newly cleared forest or on the site of old orchards with a history of Armillaria."
Apricot,Brown rot blossom,Death of young blossoms and associated twigs and leaves; small tan cankers with dark margins on twigs; gummy exudate at base of flowers; brown spore masses on flowers in humid conditions.,Fungi,Fungi survive in mummified fruit and dead twigs.,2-3 fungicide applications are required during bloom to control disease; application very important at red bud stage; applications should be made every 14 days or less if there is continued heavy rainfall.
Apricot,Eutypa dieback,"Cankers on branches, usually associated with a pruning wound which is several years old; discolored sapwood may extend abovwe and below canker; leaves on branches around canker may suddenly wilt as branch dies; leaves remain attached to branches; discoloured bark and inner wood; gummy amber exudate may be present.",Fungus,Fungus enters fresh pruning wounds with rainfall 2-6 weeks after pruning; emergence of disease most common in Fall or Winter.,Infected limbs should be removed 1 ft below any internal symptoms before harvest; if pruning is conducted outwith this time a fungicide should be applied to the pruning wounds.
Apricot,Jacket rot,Brown discoloration of fruit under jacket occurring while flower parts still attached to fruit,Fungi,Disease emergence favored by wet conditions during bloom and jacket stage,Fungicide treatment applied at full bloom
Apricot,Powdery midew,Round powdery white patches of fungal growth on fruits and leaves; rusty patches on fruits which turn brown and leathery and may crack,Fungi,S. pannosa infects plant in Spring. P. tridactyla infects plant in Summer and Fall,Apply fungicide during bloom and fruit development
Apricot,Ripe fruit rot,Dark brown circular spots on fruit; tan spore masses may be visible in center of spots; diseases fruit may not drop from tree,Fungi,Fruit rot symptoms will appear within 48 hours of rain,A protective fungicide treatment may be necessary if heavy rains are forecast 2-3 weeks prior to harvest
Apricot,Rust,Pale yellow-green spots on both upper and lower leaf surfaces which are angular in shape and turn bright yellow in color; spots on lower leaf surface develop orange-red spores.,Fungus,Fungus overwinters in twigs or in leaves which remain attached to the tree.,"Rust can be prevented by spraying trees with protective fungicides; application is usually carried out one, two and three months before harvest in areas prone to early season outbreaks of the disease and after harvest in areas where disease is less problematic or emerges later in the season."
Apricot,Shot hole disease,"Brown lesions with purple edge on fruit, twigs and buds; holes in leaves due to lesions which have dried and dropped out; brown lumps developing in the center of lesion (visible with hand lens); buds turning brown or black and exuding sap; tan lesions with brown margins which exude sap on twigs.",Fungus,Fungus survives in buds and twigs; spores spread by water splash.,Application of Bordeaux mixture before rains in Fall are sufficient to protect dormant buds and twigs over winter.
Apricot,Verticillium wilt,Withering of leaves on one or more spurs on 1 year old wood; leaves are dull and stunted; fruit small; older cherry trees do not recover from disease,Fungus,Fungus survives in soil or in debris from other susceptible plants,Plant apricot in soil with no history of disease; keep trees adequately fertilized and watered
Apricot,Bacterial canker,"Cankers on twigs at bases of flower and leaf buds, in pruning wounds or at the base of spurs which exude amber colored gum; cankers spread upwards and form sunken areas in winter; if pathogen enters dormant buds they may be killed or open normally in Spring before collapsing in early Summer; infected buds may be symptomless.",Bacterium,Disease emergence favors high moisture and low temperatures in the spring; young trees particularly susceptible; trees grown in sandy soils that drain poorly are also susceptible.,Ensure that a suitable apricot variety and rootstock is chosen based on geographic location and environmental conditions to prevent stress to tree which predisposes tree to canker disease; apply protective copper spray to trees before flowering; prune trees in early summer to decrease likelihood of infection.
Apricot,Crown gall,"Galls on root and/or crown of tree which can range in size from so small they are not visible to the naked eye up to 10 cm (4 in) in diameter; galls first become visible as white, fleshy swellings that grow rapidly and become tan to brown in color; galls typically develop at the site of a wound and new galls form adjacent to old ones the next year.",Bacterium,"Infection with crown gall begins at the site of plant wounds; disease emergence is favored by poorly-drained, alkaline soils and previous feeding damage by nematodes.","Chemical control of the disease is generally ineffective; an effective bacterial biological control is available for commercial production; cultural control methods include: planting only certified, disease-free material, planting apricot in well-draining soil, rotating infected fields with a non-host before apricot is planted and also using good sanitation practices."
